year,score,mean,ci_lower,ci_upper,ddi
1946,ev_pool_z,-0.050833374179914834,-0.06901096580415135,-0.032669816070381,0.628
1946,rating_emb_pool_z,-0.2980602226785883,-0.3157748219497941,-0.28021985874801,0.628
1946,int_pool_z,0.36828719620978506,0.35088889487268243,0.3854841559961419,0.628
1947,ev_pool_z,-0.10672051162799678,-0.12187458128358743,-0.09144267681135927,0.626
1947,rating_emb_pool_z,-0.2897225514657259,-0.30476119254978634,-0.2746308253597706,0.626
1947,int_pool_z,0.3124944450906763,0.29768512897958554,0.32730479314465516,0.626
1948,ev_pool_z,-0.04607164634474166,-0.06436158439872121,-0.027781992675596362,0.626
1948,rating_emb_pool_z,-0.13589750833850384,-0.1552899036023803,-0.11666866690457102,0.626
1948,int_pool_z,0.1865393214527296,0.1673085379770394,0.20578630805153664,0.626
1949,ev_pool_z,-0.03093992471333952,-0.04746902321527071,-0.014584049712153213,0.627
1949,rating_emb_pool_z,-0.18682089905230342,-0.205006070956179,-0.16867839342750646,0.627
1949,int_pool_z,0.2638270838909031,0.24605662884413027,0.28101748767903345,0.627
1950,ev_pool_z,0.009106446365381148,-0.006878592484234581,0.025092069247737308,0.649
1950,rating_emb_pool_z,-0.20655431512956007,-0.22314819292735374,-0.19024293425901648,0.649
1950,int_pool_z,0.30698961856430107,0.2915421047438046,0.3222321100060339,0.649
1951,ev_pool_z,-0.06000007542368605,-0.07717503891576417,-0.0430934171062617,0.649
1951,rating_emb_pool_z,-0.2076010456330287,-0.22483547356346759,-0.19070457289610193,0.649
1951,int_pool_z,0.23368319899061607,0.21690456112744252,0.2501426753350944,0.649
1952,ev_pool_z,0.015861629078342168,-0.0036508337261768505,0.03562897263186919,0.65
1952,rating_emb_pool_z,-0.1596189393343117,-0.17962272682732547,-0.13926394510771642,0.65
1952,int_pool_z,0.2424351971188235,0.2226054846070654,0.2618771713145243,0.65
1953,ev_pool_z,-0.037720048989422494,-0.05599608545963681,-0.019576247566039696,0.653
1953,rating_emb_pool_z,-0.22896805967002712,-0.2479357543323508,-0.21030351853962143,0.653
1953,int_pool_z,0.2623323715601948,0.2439645201792002,0.2806994563667893,0.653
1954,ev_pool_z,-0.07340175381007234,-0.09137414277945849,-0.05537789227037182,0.655
1954,rating_emb_pool_z,-0.20640381770411678,-0.22473203193528327,-0.18817807184733243,0.655
1954,int_pool_z,0.18463171005281662,0.16711045671602998,0.2017948957417739,0.655
1955,ev_pool_z,-0.04956084211299648,-0.06602350449282371,-0.033147114355536314,0.655
1955,rating_emb_pool_z,-0.1837778267620382,-0.2012052281444403,-0.16634521377667735,0.655
1955,int_pool_z,0.17600969499562294,0.15892016312585533,0.1927359920602945,0.655
1956,ev_pool_z,-0.11286808317684854,-0.13011072735334575,-0.0957572597519864,0.653
1956,rating_emb_pool_z,-0.2266279993606469,-0.24507541817573975,-0.20831956434773322,0.653
1956,int_pool_z,0.15717659628745542,0.13864149529079017,0.17613534797291755,0.653
1957,ev_pool_z,-0.08596221035406561,-0.10206812512710585,-0.06994011932171221,0.652
1957,rating_emb_pool_z,-0.21874043303483195,-0.23549321362840395,-0.20171211190658234,0.652
1957,int_pool_z,0.13792051799048408,0.12137416128135448,0.15454931573092479,0.652
1958,ev_pool_z,-0.08716361740672657,-0.10613099214882994,-0.06767462489096515,0.652
1958,rating_emb_pool_z,-0.1785795251907651,-0.19828020050979858,-0.15870344828244898,0.652
1958,int_pool_z,0.06394431200737552,0.043821711722540124,0.08405519367389287,0.652
1959,ev_pool_z,-0.1325909256367761,-0.14818511039680693,-0.11713309333896958,0.653
1959,rating_emb_pool_z,-0.2838289788218237,-0.30018599614578306,-0.26772393691485036,0.653
1959,int_pool_z,0.23614427983111508,0.21998383487038634,0.25218894221926164,0.653
1960,ev_pool_z,-0.09062512597540187,-0.10295195977299282,-0.07849913278955793,0.654
1960,rating_emb_pool_z,-0.18678683697622628,-0.19976732946680828,-0.17348583757109493,0.654
1960,int_pool_z,0.13340334020460742,0.12015654519381229,0.14655456093411198,0.654
1961,ev_pool_z,-0.07210471163077789,-0.08707788272287763,-0.05734568956427212,0.654
1961,rating_emb_pool_z,-0.15476270531565564,-0.17055950801087957,-0.13907957210698912,0.654
1961,int_pool_z,0.11319984021650212,0.09794791449575539,0.1287313914144911,0.654
1962,ev_pool_z,-0.029598007555649945,-0.04511792807162073,-0.014159577106005338,0.654
1962,rating_emb_pool_z,-0.019982212728812752,-0.03614424189599655,-0.0033307188480782754,0.654
1962,int_pool_z,-0.008658797679862227,-0.02457956029751142,0.007197224146004734,0.654
1963,ev_pool_z,-0.05212401139802355,-0.067416170625384,-0.036631053548694045,0.655
1963,rating_emb_pool_z,-0.07351617653676303,-0.09017652268908367,-0.0568865886086523,0.655
1963,int_pool_z,0.020790153273529,0.0044973971133938405,0.03683468610206927,0.655
1964,ev_pool_z,-0.03283309266672635,-0.048353858128864016,-0.017432804568726482,0.655
1964,rating_emb_pool_z,-0.02837691795060927,-0.0441265576997311,-0.012464821308222039,0.655
1964,int_pool_z,0.028432053438751107,0.013427407773689802,0.04359183520813333,0.655
1965,ev_pool_z,-0.010261983856134886,-0.026353073716502622,0.005988780660149252,0.655
1965,rating_emb_pool_z,0.0016174672778024042,-0.015308561468232142,0.01858636594697677,0.655
1965,int_pool_z,0.016587830337477356,-0.00027012872356451257,0.033441524347772825,0.655
1966,ev_pool_z,-0.044293893521966936,-0.059431671093698714,-0.02906629463237541,0.666
1966,rating_emb_pool_z,-0.0532639648806021,-0.06934080498688248,-0.0370599281439429,0.666
1966,int_pool_z,0.03901635871495701,0.022951729577437078,0.054917366562014736,0.666
1967,ev_pool_z,-0.017364943276812848,-0.03428565264713195,0.0001841259303432606,0.669
1967,rating_emb_pool_z,-0.0313585591019749,-0.04910077115903517,-0.013472151877595893,0.669
1967,int_pool_z,0.053510310160271364,0.0361207402010747,0.07076842253524523,0.669
1968,ev_pool_z,-0.05382024834452824,-0.06864435513708665,-0.0385560470979518,0.645
1968,rating_emb_pool_z,-0.021435994795137525,-0.03670865251295081,-0.006239752303197179,0.645
1968,int_pool_z,0.01096518685108905,-0.004649188016219889,0.026497287937046744,0.645
1969,ev_pool_z,-0.0018540233418399125,-0.017852658608101306,0.013387415618301647,0.642
1969,rating_emb_pool_z,0.034150477309316946,0.018044821014447345,0.05019455664274499,0.642
1969,int_pool_z,0.004583278424886104,-0.011911029151551353,0.021049729759454752,0.642
1970,ev_pool_z,0.03527785976593191,0.019341934746188828,0.051483044751923945,0.645
1970,rating_emb_pool_z,0.0556972474835292,0.039499319901648886,0.07239560025609955,0.645
1970,int_pool_z,-0.029037748163679065,-0.044962575927738176,-0.013072275390368334,0.645
1971,ev_pool_z,0.002547814889664502,-0.012096089165497271,0.01707595447568207,0.647
1971,rating_emb_pool_z,-0.0429321595511687,-0.058046650581362824,-0.027311569195292536,0.647
1971,int_pool_z,0.07228562590520256,0.05715248256093652,0.08730832063111658,0.647
1972,ev_pool_z,0.06201409147749764,0.04851974751413019,0.07569661211916581,0.648
1972,rating_emb_pool_z,-0.00502688382721889,-0.01912422250640089,0.00932821576449162,0.648
1972,int_pool_z,0.07410010703170321,0.059580204644668754,0.0886695570007433,0.648
1973,ev_pool_z,0.08304088542359239,0.06777599622369855,0.09815884537571773,0.648
1973,rating_emb_pool_z,0.09929760118392428,0.08366386752794254,0.11513831796437499,0.648
1973,int_pool_z,-0.05363632598502354,-0.06967823012582265,-0.03716671089209097,0.648
1974,ev_pool_z,0.02345634512936166,0.009232177910052163,0.0375561850044112,0.65
1974,rating_emb_pool_z,0.005849979197746251,-0.008923016527864753,0.020727272254870255,0.65
1974,int_pool_z,0.005473681433498933,-0.00907428875809876,0.020497046691926507,0.65
1975,ev_pool_z,0.01120191070574019,-0.002304396833016362,0.02490934111701328,0.652
1975,rating_emb_pool_z,0.010524759997144039,-0.004106070642378044,0.02520942177407959,0.652
1975,int_pool_z,-0.01796645735272735,-0.03317255041490342,-0.0031721490833771003,0.652
1976,ev_pool_z,0.0037002498691113745,-0.010283433782169551,0.017833339785475556,0.652
1976,rating_emb_pool_z,0.006316346189820836,-0.008468372660441814,0.020853265537529315,0.652
1976,int_pool_z,-0.024918320737622585,-0.03988625221461214,-0.00994884520409005,0.652
1977,ev_pool_z,-0.02944026399906379,-0.04405259814995568,-0.01461325126629623,0.652
1977,rating_emb_pool_z,0.018959230870080498,0.0034788404211022446,0.034430304363302765,0.652
1977,int_pool_z,-0.0700297850025192,-0.08625275383874631,-0.053842581247853155,0.652
1978,ev_pool_z,0.03955318447924314,0.026623633897640234,0.05267429108657145,0.651
1978,rating_emb_pool_z,0.019972303463381462,0.006371492956141888,0.03351585142850265,0.651
1978,int_pool_z,-0.02592314107179596,-0.03982852648220804,-0.011947918605264358,0.651
1979,ev_pool_z,0.06325671543324016,0.04863151924999219,0.07804329792745744,0.65
1979,rating_emb_pool_z,0.04727503298148175,0.03180391536536241,0.06286330035906516,0.65
1979,int_pool_z,-0.029045430990383113,-0.04533885625970478,-0.012830201193798806,0.65
1980,ev_pool_z,0.09396673020022832,0.08184417134520791,0.10618607427906332,0.665
1980,rating_emb_pool_z,0.09927026825478709,0.08655358759550245,0.11227763248152442,0.665
1980,int_pool_z,-0.08037892412126567,-0.09372165742387001,-0.06714847325910177,0.665
1981,ev_pool_z,0.07152538702066058,0.05951060435193763,0.08370530303632136,0.665
1981,rating_emb_pool_z,0.10426950492127021,0.09158819013234754,0.11713195513350062,0.665
1981,int_pool_z,-0.0849095715338075,-0.09811735041126009,-0.07189501422836825,0.665
1982,ev_pool_z,0.10873369240928,0.09521888616542272,0.12215421639125719,0.672
1982,rating_emb_pool_z,0.15638279724637938,0.14292567974584677,0.17027727549649085,0.672
1982,int_pool_z,-0.12400925290417497,-0.13855299904913476,-0.10965157967231497,0.672
1983,ev_pool_z,0.056261336810343,0.04218876385901769,0.06990607461434913,0.689
1983,rating_emb_pool_z,0.029300527428506803,0.015280840856323316,0.043834168550450095,0.689
1983,int_pool_z,0.020619375484490582,0.006173913192178859,0.03525433127484527,0.689
1984,ev_pool_z,0.09164133431417747,0.08054747277938569,0.1028455622403117,0.689
1984,rating_emb_pool_z,0.07234718795531576,0.06076143630107526,0.08400349249197145,0.689
1984,int_pool_z,-0.037889945712395866,-0.04945316100529771,-0.026504469580015493,0.689
1985,ev_pool_z,0.09758173788710174,0.08666172528863081,0.10880420594750376,0.689
1985,rating_emb_pool_z,0.09043224983302979,0.07911568061544534,0.10167643417289605,0.689
1985,int_pool_z,-0.06031065437649747,-0.07178632536520604,-0.049108501017948517,0.689
1986,ev_pool_z,0.04967141636685376,0.03619140599604136,0.0631249265671721,0.697
1986,rating_emb_pool_z,0.046096881218738124,0.03269567158992761,0.05967935227465348,0.697
1986,int_pool_z,-0.05962432748871707,-0.07315659075639414,-0.04619100967983854,0.697
1987,ev_pool_z,0.055155616242722416,0.042606481174015214,0.0677845228278644,0.702
1987,rating_emb_pool_z,0.034539559246159986,0.022000905273020815,0.0472347777147935,0.702
1987,int_pool_z,-0.025776797899145668,-0.0385424015286572,-0.012877404899801097,0.702
1988,ev_pool_z,-0.047577112777082084,-0.05816317281796409,-0.0371923914553385,0.704
